check_catalog_plugin_id|plugin_name|check_catalog_id|plugin_type_cd|check_param_id|field_name
4077|FIELDNAME|2033|CONST||AdjustedDailyEmissions
4078|PARAM|2033|CONST||CO2M
4079|FIELDNAME|2034|CONST||SorbentRelatedMassEmissions
4080|PARAM|2034|CONST||CO2M
4081|PARAM|2031|CONST||CO2M
4082|CODE|2036|VALUE|2735|
4084|FIELDNAME|2075|CONST||Date
4085|KEY|2075|VALUE|2747|<RECORD IDENTIFIER>
4086|DATE|2075|VALUE|2747|DAILY_TEST_DATE
4087|FIELDNAME|2076|CONST||Hour
4088|KEY|2076|VALUE|2747|<RECORD IDENTIFIER>
4089|HOUR|2076|VALUE|2747|DAILY_TEST_HOUR
4090|FIELDNAME|2077|CONST||Minute
4091|KEY|2077|VALUE|2747|<RECORD IDENTIFIER>
4092|MINUTE|2077|VALUE|2747|DAILY_TEST_MIN
4093|FIELDNAME|2044|CONST||ComponentID
4094|KEY|2044|VALUE|2744|<RECORD IDENTIFIER>
4095|COMPTYPE|2044|VALUE|2744|COMPONENT_TYPE_CD
4096|TYPE|2052|CONST||zero injection
4097|KEY|2052|VALUE|2744|<RECORD IDENTIFIER>
4098|TYPE|2048|CONST||upscale injection
4099|KEY|2048|VALUE|2744|<RECORD IDENTIFIER>
4100|FIELDNAME|2070|CONST||SpanScaleCode
4101|KEY|2070|VALUE|2744|<RECORD IDENTIFIER>
4103|VALUE|2070|VALUE|2744|SPAN_SCALE_CD
4104|FIELDNAME|2047|CONST||UpscaleGasCode
4105|KEY|2047|VALUE|2744|<RECORD IDENTIFIER>
4106|VALUE|2047|VALUE|2744|UPSCALE_GAS_LEVEL_CD
4107|KEY|2059|VALUE|2744|<RECORD IDENTIFIER>
4109|TYPE|2045|CONST||daily calibration
4110|KEY|2045|VALUE|2744|<RECORD IDENTIFIER>
4111|KEY|2056|VALUE|2744|<RECORD IDENTIFIER>
4113|TYPE|2070|CONST||daily calibration
4114|TYPE|2071|CONST||daily calibration
4115|KEY|2071|VALUE|2744|<RECORD IDENTIFIER>
4116|FIELDNAME|2069|CONST||OnlineOfflineIndicator
4117|KEY|2069|VALUE|2744|<RECORD IDENTIFIER>
4118|FIELDNAME|2049|CONST||UpscaleMeasuredValue
4119|KEY|2049|VALUE|2744|<RECORD IDENTIFIER>
4120|FIELDNAME|2050|CONST||UpscaleReferenceValue
4121|KEY|2050|VALUE|2744|<RECORD IDENTIFIER>
4122|VALUE|2050|VALUE|2744|UPSCALE_REF_VALUE
4123|FIELDNAME|2051|CONST||UpscaleCalibrationError
4124|KEY|2051|VALUE|2744|<RECORD IDENTIFIER>
4125|VALUE|2051|VALUE|2744|UPSCALE_CAL_ERROR
4126|FIELDNAME|2068|CONST||UpscaleAPSIndicator
4127|KEY|2068|VALUE|2744|<RECORD IDENTIFIER>
4128|KEY|824|CONST||this test
4129|KEY|1558|CONST||this test
4130|KEY|1687|CONST||this test
4131|KEY|919|CONST||this test
4132|KEY|2060|VALUE|2744|<RECORD IDENTIFIER>
4133|PERCENT|2060|VALUE|2756|
4134|FIELDNAME|2067|CONST||ZeroAPSIndicator
4135|KEY|2067|VALUE|2744|<RECORD IDENTIFIER>
4136|FIELDNAME|2053|CONST||ZeroMeasuredValue
4137|KEY|2053|VALUE|2744|<RECORD IDENTIFIER>
4138|FIELDNAME|2055|CONST||ZeroCalibrationError
4139|KEY|2055|VALUE|2744|<RECORD IDENTIFIER>
4140|VALUE|2055|VALUE|2744|ZERO_CAL_ERROR
4141|FIELDNAME|2054|CONST||ZeroReferenceValue
4142|KEY|2054|VALUE|2744|<RECORD IDENTIFIER>
4143|VALUE|2054|VALUE|2744|ZERO_REF_VALUE
4144|KEY|2061|VALUE|2744|<RECORD IDENTIFIER>
4145|PERCENT|2061|VALUE|2757|
4146|TEST|2062|CONST||upscale injection
4147|KEY|2062|VALUE|2744|<RECORD IDENTIFIER>
4148|TEST|2063|CONST||zero-level injection
4149|KEY|2063|VALUE|2744|<RECORD IDENTIFIER>
4150|LEVEL|2064|CONST||Upscale
4151|KEY|2064|VALUE|2744|<RECORD IDENTIFIER>
4152|LEVEL|2065|CONST||Zero
4153|KEY|2065|VALUE|2744|<RECORD IDENTIFIER>
4154|FIELDNAME|2066|CONST||TestResultCode
4155|KEY|2066|VALUE|2744|<RECORD IDENTIFIER>
4156|VALUE|2066|VALUE|2744|TEST_RESULT_CD
4157|FIELDNAME|2079|CONST||SpanScaleCode
4158|KEY|2079|VALUE|2747|<RECORD IDENTIFIER>
4159|FIELDNAME|2080|CONST||TestResultCode
4160|KEY|2080|VALUE|2747|<RECORD IDENTIFIER>
4161|VALUE|2080|VALUE|2747|TEST_RESULT_CD
4162|KEY|2078|VALUE|2747|<RECORD IDENTIFIER>
4164|FIELDNAME|2078|CONST||ComponentID
4165|BASIS|684|CONST||D
4166|BASIS|676|CONST||W
4167|ORIS|2085|VALUE|2901|""
4168|HOUR|2086|VALUE|2768|BEGIN_HOUR
4169|ID|2086|VALUE|2768|UNIT_PIPE
4170|DATE|2086|VALUE|2768|BEGIN_DATE
4171|FIELD|2087|CONST||OperatingTime
4172|VALUE|2087|VALUE|2768|OP_TIME
4173|ID|2087|VALUE|2768|UNIT_PIPE
4174|DATE|2087|VALUE|2768|BEGIN_DATE
4175|FIELD|2088|CONST||LoadValue
4176|VALUE|2088|VALUE|2768|HR_LOAD
4177|ID|2088|VALUE|2768|UNIT_PIPE
4178|DATE|2088|VALUE|2768|BEGIN_DATE
4179|FIELD|2089|CONST||LoadUnitsOfMeasure
4180|VALUE|2089|VALUE|2768|LOAD_UOM_CD
4181|ID|2089|VALUE|2768|UNIT_PIPE
4182|DATE|2089|VALUE|2768|BEGIN_DATE
4183|HOUR|2089|VALUE|2768|BEGIN_HOUR
