check_catalog_param_id|check_catalog_id|check_param_id|check_param_usage_cd
1001|113|345|REQ
1002|160|258|REQ
1015|119|540|REQ
1017|113|540|REQ
1019|114|540|REQ
1026|118|540|REQ
1039|163|545|OUT
1048|59|547|OUT
1049|59|548|OUT
1050|59|549|OUT
1051|59|550|OUT
1052|165|349|REQ
1054|166|349|REQ
1055|166|552|OUT
1056|167|349|REQ
1058|153|492|REQ
1059|153|459|REQ
1060|153|527|OUT
1063|168|556|OUT
1064|168|520|REQ
1065|169|349|REQ
1067|170|349|REQ
1068|170|558|OUT
1069|171|349|REQ
1070|171|559|OUT
1071|172|349|REQ
1072|172|560|OUT
1073|173|349|REQ
1074|173|561|OUT
1075|174|349|REQ
1076|174|558|REQ
1077|174|559|REQ
1078|174|560|REQ
1079|174|561|REQ
1080|174|562|OUT
1089|176|258|REQ
1091|176|1635|REQ
1092|176|410|REQ
1093|176|411|REQ
1094|176|412|REQ
1095|176|413|REQ
1098|177|565|OUT
1100|177|480|REQ
1102|149|480|REQ
1105|160|480|REQ
1120|164|513|REQ
1121|163|492|REQ
1122|163|513|REQ
1125|168|571|OUT
1126|168|568|OUT
1127|168|569|OUT
1128|168|570|OUT
1129|155|568|REQ
1130|155|569|REQ
1131|155|571|REQ
1132|155|570|REQ
1133|161|513|REQ
1134|161|568|REQ
1135|161|569|REQ
1136|161|571|REQ
1137|161|570|REQ
1139|161|475|REQ
1141|161|492|REQ
1142|157|492|REQ
1143|157|524|REQ
1144|157|525|REQ
1145|157|526|REQ
1146|157|527|REQ
1156|134|446|REQ
1157|168|513|REQ
1158|180|349|REQ
1159|180|319|REQ
1166|182|340|REQ
1168|183|349|REQ
1169|183|340|REQ
1171|184|349|REQ
1175|184|579|OUT
1195|186|349|REQ
1196|186|348|REQ
1200|187|584|REQ
1202|188|584|REQ
1206|190|584|REQ
1210|192|584|REQ
1211|192|591|OUT
1212|193|584|REQ
1214|194|584|REQ
1215|194|593|OUT
1216|195|584|REQ
1217|195|594|OUT
1218|196|584|REQ
1219|196|595|OUT
1220|197|584|REQ
1221|197|596|OUT
1222|199|584|REQ
1225|199|586|OUT
1226|199|600|OUT
1227|199|598|OUT
1228|199|599|OUT
1229|198|584|REQ
1230|198|593|REQ
1231|198|594|REQ
1232|198|595|REQ
1233|198|596|REQ
1234|198|601|OUT
1235|199|601|REQ
1236|199|597|OUT
1240|201|584|REQ
1242|202|584|REQ
1244|203|584|REQ
1245|203|605|OUT
1248|205|584|REQ
1249|205|607|OUT
1250|206|584|REQ
1258|38|265|REQ
1260|38|403|REQ
1261|38|405|REQ
1268|52|629|OUT
1274|213|584|REQ
1319|224|584|REQ
1322|225|584|REQ
1361|235|584|REQ
1362|235|531|REQ
1363|236|584|REQ
1364|236|531|REQ
1368|237|584|REQ
1369|237|531|REQ
1371|237|605|REQ
1372|238|326|REQ
1373|238|658|OUT
1374|25|419|REQ
1375|25|659|OUT
1376|25|660|OUT
1377|25|661|OUT
1378|25|662|OUT
1379|239|326|REQ
1381|240|326|REQ
1383|241|326|REQ
1385|242|326|REQ
1386|242|666|OUT
1387|243|326|REQ
1389|244|326|REQ
1391|245|326|REQ
1402|247|326|REQ
1404|247|508|REQ
1409|249|326|REQ
1410|249|319|REQ
1415|251|326|REQ
1416|251|340|REQ
1424|253|326|REQ
1425|253|348|REQ
1426|253|680|OUT
1467|267|326|REQ
1468|267|328|REQ
1470|267|693|OUT
1471|268|326|REQ
1472|268|328|REQ
1477|269|326|REQ
1478|269|695|REQ
1481|269|697|OUT
1482|270|326|REQ
1483|270|371|REQ
1484|270|698|OUT
1485|2|390|REQ
1489|65|699|REQ
1490|65|265|REQ
1491|1|699|REQ
1492|62|699|REQ
1493|12|699|REQ
1502|88|399|OUT
1503|88|400|OUT
1504|12|399|REQ
1505|12|400|REQ
1508|273|700|REQ
1509|273|699|REQ
1510|273|399|REQ
1511|273|400|REQ
1512|273|265|REQ
1514|274|701|REQ
1516|275|701|REQ
1517|275|703|OUT
1518|276|701|REQ
1519|276|704|OUT
1520|277|701|REQ
1521|277|706|OUT
1522|278|701|REQ
1523|278|707|OUT
1524|279|701|REQ
1525|279|703|REQ
1526|279|704|REQ
1527|279|706|REQ
1528|279|707|REQ
1530|280|701|REQ
1534|282|701|REQ
1536|283|701|REQ
1543|283|705|OUT
1544|283|717|OUT
1545|279|708|OUT
1546|283|714|OUT
1547|283|713|OUT
1548|283|716|OUT
1549|285|701|REQ
1551|285|719|OUT
1556|287|699|REQ
1561|287|723|OUT
1571|290|728|REQ
1575|291|724|OUT
1576|292|699|REQ
1577|292|723|REQ
1578|292|724|REQ
1591|294|731|REQ
1592|294|732|OUT
1593|295|731|REQ
1594|295|733|OUT
1595|296|731|REQ
1596|296|699|REQ
1597|296|723|REQ
1598|296|724|REQ
1599|296|733|REQ
1600|296|732|REQ
1602|297|364|REQ
1604|59|562|REQ
1607|183|582|REQ
1608|184|582|REQ
1609|186|547|REQ
1610|186|548|REQ
1611|186|549|REQ
1612|186|550|REQ
1613|182|547|REQ
1615|182|549|REQ
1616|182|550|REQ
1617|182|548|REQ
